Ward code,Ward,2015,2016,2017,2018,2019,2020
E05010887,Bedminster,8000,8000,8000,8000,9000,8000
E05010896,Easton,2500,3000,2500,2500,2500,2250
E05010899,Frome Vale,4500,4500,4500,4500,4500,4500
E05010903,Hillfields,3000,3000,2500,2500,2500,2500
E05010905,Hotwells and Harbourside,13000,11000,12000,12000,13000,13000
E05010914,Southville,7000,7000,7000,6000,6000,6000
E05010894,Clifton Down,6000,6000,7000,7000,8000,8000
E05010895,Cotham,2000,1750,2000,2000,2000,2500
E05010910,St George Central,2000,2000,2000,2000,2000,2000
E05010911,St George Troopers Hill,600,600,500,600,600,600
E05010892,Central,87000,89000,93000,95000,102000,103000
E05010901,Henbury and Brentry,2000,2000,2000,2000,2250,2000
E05010902,Hengrove and Whitchurch Park,7000,7000,6000,7000,6000,6000
E05010913,Southmead,2250,2500,2250,2500,2500,2500
E06000023,Bristol,257000,258000,267000,267000,278000,282000
E05010885,Ashley,7000,6000,7000,8000,9000,10000
E05010886,Avonmouth and Lawrence Weston,19000,19000,19000,20000,19000,20000
E05010893,Clifton,7000,7000,8000,8000,8000,8000
E05010906,Knowle,2500,2000,2000,2250,2250,2250
E05010917,Westbury-on-Trym and Henleaze,7000,6000,7000,7000,7000,7000
E05010907,Lawrence Hill,18000,17000,19000,16000,17000,16000
E05010912,St George West,1500,1500,1750,1500,1750,1500
E05010889,Bishopsworth,4000,4500,4500,4500,4500,4500
E05010890,Brislington East,5000,5000,4500,4500,4500,5000
E05010897,Eastville,3000,3500,3500,3500,3500,3500
E05010908,Lockleaze,4000,3000,3500,3500,3500,3500
E05010909,Redland,3000,3000,3000,3000,3000,3000
E05010888,Bishopston and Ashley Down,3000,3000,3000,3000,3000,3000
E05010891,Brislington West,7000,7000,7000,7000,7000,7000
E05010900,Hartcliffe and Withywood,2250,2500,2500,2500,2500,3500
E05010904,Horfield,12000,12000,12000,12000,13000,14000
E05010916,Stoke Bishop,1750,1750,1500,1750,1750,2000
E05010898,Filwood,2250,2500,2500,3000,2500,3500
E05010915,Stockwood,1250,1250,1250,1250,1250,1250
E05010918,Windmill Hill,1250,1250,1250,1250,1250,1250
