SchoolDist,Year,Total Enrollment,Grade 3K,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multi-Racial,% Multi-Racial,# Native American,% Native American,# White,% White,# Missing Race/Ethnicity Data,% Missing Race/Ethnicity Data,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
1,2021-22,10327,347,524,685,701,686,680,707,717,707,687,718,756,815,784,813,"4,958",48.00%,"5,369",52.00%,"2,110",20.40%,"1,570",15.20%,"4,289",41.50%,417,4.00%,53,0.50%,"1,859",18.00%,29,0.30%,"2,355",22.80%,814.00,7.90%,"6,463",62.60%,65.30%
2,2021-22,57900,837,"2,093","2,518","2,441","2,328","2,272","2,362","2,281","2,325","2,398","2,490","8,602","8,841","8,076","8,036","30,372",52.50%,"27,528",47.50%,"12,784",22.10%,"8,010",13.80%,"19,190",33.10%,"2,209",3.80%,370,0.60%,"14,647",25.30%,690,1.20%,"10,364",17.90%,4766.00,8.20%,"30,364",52.40%,53.00%
3,2021-22,19766,394,923,"1,057","1,088","1,095","1,049","1,040","1,134","1,216","1,253","1,306","1,888","1,993","2,344","1,986","10,770",54.50%,"8,996",45.50%,"1,946",9.80%,"3,813",19.30%,"6,412",32.40%,853,4.30%,104,0.50%,"6,169",31.20%,469,2.40%,"3,745",18.90%,829.00,4.20%,"9,529",48.20%,49.20%
4,2021-22,11567,522,604,684,671,676,734,693,759,893,900,928,852,932,863,856,"6,026",52.10%,"5,541",47.90%,"1,065",9.20%,"2,759",23.90%,"6,715",58.10%,209,1.80%,109,0.90%,637,5.50%,73,0.60%,"2,781",24.00%,1175.00,10.20%,"9,277",80.20%,81.40%
5,2021-22,9341,507,696,488,500,569,531,546,607,581,632,620,817,799,746,702,"4,349",46.60%,"4,992",53.40%,350,3.70%,"4,345",46.50%,"3,677",39.40%,115,1.20%,124,1.30%,638,6.80%,92,1.00%,"2,340",25.10%,730.00,7.80%,"7,455",79.80%,82.10%
6,2021-22,19424,"1,190","1,362","1,203","1,241","1,236","1,321","1,354","1,394","1,272","1,330","1,376","1,543","1,351","1,170","1,081","9,561",49.20%,"9,863",50.80%,283,1.50%,"1,483",7.60%,"15,957",82.20%,267,1.40%,55,0.30%,"1,231",6.30%,148,0.80%,"4,012",20.70%,4893.00,25.20%,"15,693",80.80%,80.40%
7,2021-22,16032,736,934,814,792,827,920,961,974,923,974,976,"1,768","1,692","1,365","1,376","7,645",47.70%,"8,387",52.30%,169,1.10%,"4,284",26.70%,"11,037",68.80%,69,0.40%,170,1.10%,259,1.60%,44,0.30%,"3,922",24.50%,2430.00,15.20%,"14,674",91.50%,91.70%
9,2021-22,28491,"1,334","1,899","1,726","1,741","1,898","1,981","2,028","2,096","2,022","2,067","2,270","2,050","1,839","1,832","1,708","14,064",49.40%,"14,427",50.60%,353,1.20%,"7,590",26.60%,"19,776",69.40%,95,0.30%,181,0.60%,391,1.40%,105,0.40%,"6,316",22.20%,6226.00,21.90%,"25,821",90.60%,91.90%
10,2021-22,48016,"1,634","2,767","2,870","2,988","3,105","3,165","3,446","3,403","3,234","3,351","3,379","4,090","3,754","3,525","3,305","23,573",49.10%,"24,443",50.90%,"3,771",7.90%,"7,067",14.70%,"33,163",69.10%,445,0.90%,398,0.80%,"2,983",6.20%,189,0.40%,"9,429",19.60%,9653.00,20.10%,"38,735",80.70%,81.60%
11,2021-22,34491,"1,122","2,380","2,277","2,321","2,336","2,575","2,576","2,589","2,681","2,748","2,832","2,413","2,018","1,872","1,751","16,556",48.00%,"17,935",52.00%,"3,217",9.30%,"12,228",35.50%,"15,028",43.60%,302,0.90%,420,1.20%,"3,159",9.20%,137,0.40%,"6,736",19.50%,4210.00,12.20%,"26,974",78.20%,77.00%
