Country,Year,Urban population
Arab World,1960,31.0221618761246
Arab World,1961,31.7546774500861
Arab World,1962,32.4948317809347
Arab World,1963,33.2614926678252
Arab World,1964,34.0537932048144
Arab World,1965,34.8829850998416
Arab World,1966,35.6732539088972
Arab World,1967,36.3576281319132
Arab World,1968,37.0570488550047
Arab World,1969,37.7671128750642
Arab World,1970,38.4815483947175
Arab World,1971,39.1690007032558
Arab World,1972,39.8710914929653
Arab World,1973,40.5662376999626
Arab World,1974,41.1977299018807
Arab World,1975,41.7987508859464
Arab World,1976,42.4444657383449
Arab World,1977,43.06607490166
Arab World,1978,43.5418116689702
Arab World,1979,43.9717671913782
Arab World,1980,44.4837922580346
Arab World,1981,45.0343218331119
Arab World,1982,45.5711662186222
Arab World,1983,46.1387769431541
Arab World,1984,46.7764669844878
Arab World,1985,47.3896623940812
Arab World,1986,48.0053193114113
Arab World,1987,48.5751677386731
Arab World,1988,49.0998019228664
Arab World,1989,49.5950846719184
Arab World,1990,50.074412080139
Arab World,1991,50.4711752200271
Arab World,1992,51.0190267061052
Arab World,1993,51.4348089295405
Arab World,1994,51.7024141696087
Arab World,1995,51.8985035847987
Arab World,1996,52.0919238879614
Arab World,1997,52.3161747222878
Arab World,1998,52.5620010400932
Arab World,1999,52.810525933373
Arab World,2000,53.0559973795537
Arab World,2001,53.3118011492396
Arab World,2002,53.5664327586935
Arab World,2003,53.830162111699
Arab World,2004,54.0955224686373
Arab World,2005,54.4352230672072
Arab World,2006,54.834300381715
Arab World,2007,55.1196682551353
Arab World,2008,55.5592923941882
Arab World,2009,55.996756942822
Arab World,2010,56.3804175556449
Arab World,2011,56.6379951294674
Arab World,2012,56.8642213511558
Arab World,2013,57.1779738210308
Arab World,2014,57.507260831792
Arab World,2015,57.8461531322777
Arab World,2016,58.1232553821432
Arab World,2017,58.3712899667064
Arab World,2018,58.6295761563896
Arab World,2019,58.8838169749636
Arab World,2020,59.0876190110407
Arab World,2021,59.2948864669767
Euro area,1960,62.0890006745952
Euro area,1961,62.5644975857785
Euro area,1962,63.0524385176562
Euro area,1963,63.6069657533544
Euro area,1964,64.1600528563796
Euro area,1965,64.7116718791926
Euro area,1966,65.2619880966031
Euro area,1967,65.806040358645
Euro area,1968,66.303419409298
Euro area,1969,66.724970257126
Euro area,1970,67.1359869424249
Euro area,1971,67.5268474578067
Euro area,1972,67.8615264558431
Euro area,1973,68.1739698038576
Euro area,1974,68.4751215503142
Euro area,1975,68.7288215330687
Euro area,1976,68.950978620237
Euro area,1977,69.1941098948539
Euro area,1978,69.4389632320415
Euro area,1979,69.6817697259401
Euro area,1980,69.9223347493543
Euro area,1981,70.1613379800864
Euro area,1982,70.3172232759978
Euro area,1983,70.42621427806
Euro area,1984,70.4942439563995
Euro area,1985,70.5467852077171
Euro area,1986,70.6358899187716
Euro area,1987,70.8045529466505
Euro area,1988,70.9635982370805
Euro area,1989,71.0710304357993
Euro area,1990,71.2179663987136
Euro area,1991,71.3828437286764
Euro area,1992,71.5318736704055
Euro area,1993,71.696103395593
Euro area,1994,71.8784867491978
Euro area,1995,72.0562606071556
Euro area,1996,72.232220932835
Euro area,1997,72.4058597005709
Euro area,1998,72.5774973881271
Euro area,1999,72.7537107505949
Euro area,2000,72.9421812441936
Euro area,2001,73.1472752693955
Euro area,2002,73.3908040705848
Euro area,2003,73.6413910903869
Euro area,2004,73.8868455486956
Euro area,2005,74.1298853012701
Euro area,2006,74.367707171224
Euro area,2007,74.5964762656447
Euro area,2008,74.8229647412585
Euro area,2009,75.0506429823165
Euro area,2010,75.2813337200584
Euro area,2011,75.5085564078464
Euro area,2012,75.723174804444
Euro area,2013,75.9285537608131
Euro area,2014,76.1274356900047
Euro area,2015,76.3385341710104
